factor_name,factor_col,ret_horizon,ic_mean,rankic_mean,ic_std,icir,rankic_ir,n_days,pass
mom,mom_5m,ret100,-0.0338559178252066,-0.0513121254446356,0.0223663364514286,-1.513699746882067,-2.4663484058633287,243,True
mom,mom_10m,ret100,-0.02960468703566,-0.0487014401231859,0.0240874320450405,-1.229051190691595,-2.2527055386635837,243,True
mom,mom_20m,ret100,-0.0239078518348118,-0.0411133795696286,0.0251488257437943,-0.9506547971016592,-1.9208419413032336,243,True
mom,mom_30m,ret100,-0.0204586205896756,-0.0372144052677856,0.0245028715170763,-0.8349478784728473,-1.6900167561751014,243,True
bap,bap_15m,ret100,-0.0204067027749697,-0.0167221897282636,0.0103121158499228,-1.97890550028318,-1.3140677559244032,243,True
acc_mom,acc_mom_150_300t,ret100,-0.0203362481643982,-0.0313900837586254,0.0209918185059426,-0.9687701977149435,-1.5810440419725191,244,True
acc_mom,acc_mom_200_400t,ret100,-0.0194543586464405,-0.0317997271702187,0.0218511963856683,-0.8903109149300487,-1.516355034722905,244,False
acc_mom,acc_mom_100_200t,ret100,-0.0191340088425494,-0.0287325907931644,0.0181070596822775,-1.0567154015224804,-1.7063652284390185,244,False
mom,mom_45m,ret100,-0.0180668297568594,-0.032812201525485,0.0255563357660927,-0.7069413206266411,-1.336820375668735,243,False
acc_mom,acc_mom_300_600t,ret100,-0.0172527998664666,-0.0294410675667595,0.0233614482340995,-0.7385158528521177,-1.337608109388095,244,False
acc_mom,acc_mom_50_100t,ret100,-0.0166723224940094,-0.0222647013170213,0.0116806614917423,-1.4273440340511454,-1.8633811440758663,244,False
acc_mom,acc_mom_400_800t,ret100,-0.0162913265497412,-0.0284014114363373,0.0237855452062964,-0.6849255044794451,-1.313893591559744,244,False
bap,bap_30m,ret100,-0.015981284022265,-0.0115333489515658,0.0106403739993543,-1.501947584101352,-0.8583488542444604,243,False
acc_mom,acc_mom_500_1000t,ret100,-0.0154344696513355,-0.0277639618986458,0.024229093397893,-0.6370221699123786,-1.198265543045315,244,False
mom,mom_60m,ret100,-0.0152020265150516,-0.0283287494726292,0.0257429930226597,-0.5905306543675948,-1.080290747983949,243,False
mom,mom_90m,ret100,-0.0148117669675283,-0.0259206610630659,0.0268107395751525,-0.5524564858052436,-0.8875126148959944,243,False
amp_slice,amp_slice_300t,ret100,-0.014517208042711,-0.0249585073303649,0.0169053100108112,-0.8587365764618973,-2.2433192839036877,244,False
acc_mom,acc_mom_600_1200t,ret100,-0.0135667000859987,-0.0263234790600754,0.0253171642959305,-0.5358696545718392,-1.0661228082123255,244,False
bap,bap_45m,ret100,-0.0133568891606553,-0.008550869990216,0.0118171477108414,-1.1302972161718263,-0.5849740481855585,243,False
bap,bap_60m,ret100,-0.0121634858432584,-0.0074149422366683,0.0124415705283398,-0.977648747443264,-0.480672903791093,243,False
acc_mom,acc_mom_25_50t,ret100,-0.0119525751676906,-0.0133116009552299,0.0097538605545677,-1.2254199350936192,-1.3398147106188707,244,False
amp_slice,amp_slice_600t,ret100,-0.0117236288839344,-0.0244232602299171,0.0201138198920376,-0.5828643662348476,-1.683532488490016,244,False
amp_slice,amp_slice_900t,ret100,-0.0110638587573981,-0.0240703750876367,0.0212309229652966,-0.5211200085593434,-1.4686251909236778,244,False
amp_slice,amp_slice_1500t,ret100,-0.0105545683112494,-0.0235795121024633,0.0246073031528099,-0.4289201561709626,-1.071815761362789,244,False
bap,bap_75m,ret100,-0.0105469282647376,-0.00580839268011,0.0136417246930186,-0.7731374516108814,-0.3491582457033956,243,False
amp_slice,amp_slice_1200t,ret100,-0.0104891457440637,-0.0241426947290177,0.0233609594142782,-0.4490032090742273,-1.279510865804231,244,False
oir,oir_15m,ret100,-0.0100659922505564,0.0025163217106705,0.0123552021434488,-0.8147169211548493,0.1634592089229884,244,False
oir,oir_30m,ret100,-0.0080989933921307,0.0028985186567265,0.0128286353908952,-0.6313215042247372,0.1808451684725013,244,False
oir,oir_45m,ret100,-0.006972597846529,0.0030787406978758,0.0133098456624756,-0.5238676708466131,0.1837926416737908,244,False
oir,oir_60m,ret100,-0.006946892513067,0.0023500956029363,0.0141415165451981,-0.4912409847178594,0.1317402353308061,244,False
ofd,ofd_15m,ret100,-0.0057814627301268,-0.0027280536733097,0.0119546679980713,-0.4836154990719563,-0.1396135447734199,244,False
oir,oir_75m,ret100,-0.0056989156926985,0.0031277245743431,0.0148611105664417,-0.383478453189591,0.1683665392566516,244,False
ofd,ofd_60m,ret100,-0.0056459748308585,-0.0068837993699689,0.0139600809318253,-0.4044371131106524,-0.3044928034745988,244,False
ofd,ofd_30m,ret100,-0.0054340107896571,-0.0042284739966706,0.0128507353413611,-0.4228560191545905,-0.2039225147459477,244,False
ofd,ofd_45m,ret100,-0.0054078177580298,-0.0055299121010811,0.0130426020172627,-0.414627215556545,-0.2593002192542899,244,False
ofd,ofd_75m,ret100,-0.0050256604101576,-0.0070099035208994,0.0143340358658613,-0.3506102856995748,-0.3031136228058341,244,False
